Fs,50.00
Initialization time,60
mx,my,mz
6202,940,3175
6212,1005,3277
6142,935,3117
6052,935,3137
6147,940,3170
6147,925,3137
6202,890,3187
6232,960,3240
6267,965,3292
6267,980,3165
6312,980,3117
6317,945,3207
6207,975,3107
6212,1010,3102
6212,945,3047
6142,965,3132
6297,1030,3250
6212,1005,3122
6372,910,3165
6362,945,3017
6212,955,3065
6117,1000,3145
6257,970,3095
6182,980,3052
6292,980,3090
6287,990,3180
6257,1015,3127
6257,925,3075
6242,857,3060
6232,920,3175
6167,1005,3060
6077,940,3245
6257,1005,3245
6277,915,3165
6197,885,3085
6257,980,3145
6257,930,3112
6167,1025,3027
6177,965,3212
6297,832,3170
6222,935,3165
6182,1015,3207
6242,895,3202
6282,1040,3302
6297,965,3260
6267,975,3010
6182,930,3170
6302,945,3292
6232,915,3160
6132,1005,3155
6252,995,3155
6182,865,3095
6197,965,3155
6202,1060,3197
6312,885,3132
6222,910,3165
6277,1050,3085
6227,1010,3122
6302,890,3117
6222,1000,3155
6327,925,3047
6182,925,3132
6282,970,3122
6232,1000,3075
6252,1030,3095
6147,965,3260
6187,857,3095
6267,1015,3075
6167,1050,3022
6147,1010,3112
6212,1075,3107
6252,965,3160
6172,950,3202
6192,975,3127
